Attribute	Label	Weight
word.prefix3:Oud	B-LOC	1.647361
word.suffix3:iet	B-PER	1.646322
word.suffix3:nna	B-PER	1.646237
word.suffix3:ver	B-LOC	1.645557
word.lower():stadsmeneer	O	1.644867
word.lower():viking	B-MISC	1.64419
word.prefix3:Vik	B-MISC	1.64419
word.lower():renze	B-PER	1.644144
word.prefix3:Hol	B-MISC	1.642855
word.prefix2:Ka	I-PER	1.64008
prev_word.lower():der	I-PER	1.638174
word.prefix3:Vle	O	1.635419
word.prefix3:lij	B-LOC	1.630812
next_word.lower():paizerweg	B-LOC	1.629351
word.lower():lutje	O	1.629292
word.lower():kremlin	B-MISC	1.626927
word.suffix3:lin	B-MISC	1.626927
word.lower():heerepoorde	B-MISC	1.62277
word.suffix3:Der	O	1.621565
word.lower():kasperoom	B-PER	1.618882
word.prefix3:Hom	B-PER	1.618706
word.lower():krediet	O	1.616988
prev_word.lower():zangspel	O	1.616988
word.suffix3:see	B-LOC	1.616163
word.lower():zuden	B-LOC	1.61511
word.suffix3:sel	B-LOC	1.615047
prev_word.lower():om	O	1.614457
word.suffix3:nao	B-PER	1.612214
word.lower():hörn	B-LOC	1.608887
word.prefix3:Dis	B-PER	1.606978
word.prefix3:Aiz	B-PER	1.606974
word.lower():westerwolder	B-MISC	1.602372
word.lower():daiwerke	B-PER	1.599154
prev_word.lower():en	I-PER	1.599101
word.suffix2:ip	B-LOC	1.596153
word.suffix2:us	B-PER	1.592859
word.prefix2:Mo	O	1.59081
word.wordshape():xxxxxxx	O	1.590573
word.suffix3:hap	B-ORG	1.590322
word.prefix2:Ma	B-PER	1.589522
word.lower():roon	B-LOC	1.587324
next_word.lower():te	B-MISC	1.5872
word.prefix2:Fe	B-PER	1.586822
next_word.lower():hemel	I-PER	1.586358
word.lower():petrus	B-PER	1.586147
word.prefix3:Pet	B-PER	1.586147
word.prefix3:Mar	B-LOC	1.585404
prev_word.lower():van	I-PER	1.585258
word.lower():veelings	B-MISC	1.584133
word.lower():hoeshollerske	O	1.583522
word.lower():blijhamsterstroate	B-LOC	1.582893
next_word.lower():moandag	B-PER	1.582687
word.suffix3:dde	B-PER	1.582347
prev_word.lower():ien	B-LOC	1.58126
word.prefix3:Bre	B-LOC	1.580496
word.lower():mekkelbörgse	B-MISC	1.580129
prev_word.lower():deidaogse	B-MISC	1.580129
next_word.lower():laandwegen	B-MISC	1.580129
prev_word.lower():dou	B-ORG	1.578894
word.prefix3:Kön	I-MISC	1.578018
next_word.lower():mout	B-PER	1.577205
word.prefix3:Vro	O	1.574309
prev_word.lower():jim	B-MISC	1.573398
word.prefix2:Gu	B-MISC	1.573375
word.prefix3:Elk	O	1.572003
prev_word.lower():blinde	O	1.57166
prev_word.lower():hait	O	1.570771
word.prefix3:Oos	B-LOC	1.570663
next_word.lower():denken	I-LOC	1.570558
word.prefix3:Lom	B-MISC	1.570542
word.suffix3:dam	B-LOC	1.567818
word.lower():scheveningen	B-LOC	1.566904
word.lower():cent	B-MISC	1.564111
word.prefix3:Moe	O	1.562805
prev_word.lower():grönnger	O	1.561744
next_word.lower():vroug	B-PER	1.560238
word.lower():delzielster	B-MISC	1.559322
word.lower():paor	O	1.556008
word.suffix3:bel	B-PER	1.555981
word.prefix2:Kö	I-MISC	1.55303
word.wordshape():xxxxxxxxxxxxx	O	1.550642
next_word.lower():vrijdag	B-MISC	1.546463
word.prefix2:In	O	1.542694
next_word.lower():dikemoa	B-PER	1.541921
word.prefix2:vr	B-PER	1.54148
word.wordshape():Xxxxxxxxxx	B-LOC	1.539718
word.lower():winschoterdaip	I-LOC	1.539654
word.prefix3:omm	I-LOC	1.539546
word.lower():raainder	B-PER	1.538992
word.prefix3:Raa	B-PER	1.538992
prev_word.lower():op	B-LOC	1.538024
word.lower():neijoarswens	O	1.535051
word.suffix3:ara	B-MISC	1.534946
word.suffix3:ouw	O	1.532645
prev_word.lower():edelvrouwe	B-PER	1.532389
next_word.lower():grotendrift	B-PER	1.532389
word.prefix3:Lee	O	1.531852
word.lower():pharizeeërs	B-MISC	1.531703
word.istitle()	I-PER	1.527236
word.suffix3:gie	B-LOC	1.527079
next_word.lower():opstaon	O	1.526237
next_word.lower():huil	B-PER	1.525933
word.suffix3:aad	O	1.525422
word.lower():vattekaon	B-MISC	1.523639
next_word.lower():oomke	B-PER	1.522275
word.suffix2:gs	B-MISC	1.521078
word.lower():oude	B-LOC	1.518129
word.lower():disselsvolk	B-PER	1.516902
word.prefix3:Oav	O	1.514994
word.lower():molema	B-PER	1.514884
word.prefix3:Mol	B-PER	1.514884
next_word.lower():ommelanden	B-MISC	1.512702
word.wordshape():Xxxxxxxxxxxxx	I-MISC	1.511976
prev_word.lower():den	I-LOC	1.511893
word.lower():fivel	B-MISC	1.511661
word.prefix3:Nei	B-LOC	1.509494
word.suffix2:te	B-LOC	1.509136
next_word.lower():kieken	B-MISC	1.506782
word.lower():grunnegers	B-MISC	1.506315
word.prefix3:duv	B-PER	1.505547
word.lower():wetholder	B-PER	1.505114
next_word.lower():rugge	B-PER	1.505114
word.lower():maondblaad	O	1.504027
next_word.lower():hoag	B-LOC	1.499426
word.suffix3:olk	B-PER	1.498581
word.suffix3:ten	B-ORG	1.497706
word.prefix3:Oos	B-MISC	1.495709
next_word.lower():t	O	1.494068
word.lower():eekstermaiden	B-LOC	1.490472
word.suffix3:ert	B-PER	1.49004
word.prefix3:Bla	B-PER	1.489846
next_word.lower():al	B-MISC	1.487509
next_word.lower():wet	B-MISC	1.487176
word.lower():holwierder	B-LOC	1.486257
next_word.lower():kerk	B-ORG	1.484909
word.prefix3:Old	B-LOC	1.484052
word.suffix3:ans	B-PER	1.483907
next_word.lower():cent	B-MISC	1.482451
word.suffix3:pie	B-PER	1.481031
word.prefix3:Til	B-PER	1.475879
word.prefix2:so	B-PER	1.475698
word.lower():paizerweg	I-LOC	1.473354
word.lower():grait	B-PER	1.471864
next_word.lower():dei	I-MISC	1.471741
prev_word.lower():dat	B-PER	1.470668
prev_word.lower():zunige	O	1.467523
word.lower():haarm	B-PER	1.467279
word.suffix3:nds	B-MISC	1.463723
next_word.lower():wil	B-PER	1.462844
next_word.lower():vandoan	B-PER	1.461274
next_word.lower():hörn	B-LOC	1.460547
word.prefix3:Grö	B-MISC	1.459323
word.prefix3:Ruz	B-MISC	1.457686
word.suffix3:eel	O	1.456168
word.lower():poaske	B-MISC	1.455764
word.lower():nainoord	B-PER	1.45568
word.lower():paiters	O	1.455077
word.prefix3:ais	B-PER	1.451748
word.lower():metinitoren	B-MISC	1.451173
next_word.lower():schut	B-PER	1.450773
word.prefix3:vol	I-MISC	1.449869
word.suffix2:ag	I-MISC	1.449262
word.suffix2:st	I-LOC	1.449158
word.lower():winschoot	B-LOC	1.443661
word.lower():israël	B-LOC	1.442868
prev_word.lower():den	O	1.442783
word.lower():pauwel	B-PER	1.442164
word.prefix2:St	I-PER	1.442002
word.lower():belgen	B-MISC	1.441994
next_word.lower():luipen	B-MISC	1.438988
word.lower():stiefhoorn	B-PER	1.438888
word.prefix3:veu	B-MISC	1.436317
next_word.lower():vries	B-PER	1.435867
word.suffix3:ril	B-PER	1.435272
word.lower():kloàs	B-PER	1.435048
word.suffix3:oàs	B-PER	1.435048
word.suffix2:às	B-PER	1.435048
word.prefix3:Lai	B-LOC	1.43276
word.lower():lopstertoren	B-MISC	1.432298
word.prefix3:Hin	B-PER	1.43223
next_word.lower():aan	B-LOC	1.431653
word.lower():vrouger	O	1.431229
word.wordshape():Xxxxxx	I-PER	1.431227
word.wordshape():xxxxxxxxx	I-LOC	1.430644
